Fort Funston Doggie Beach,beach,Best Beach in Town,37.718806,-122.504370
Pacifica State Beach,beach,Hawtest Beach for Paws,37.599196,-122.502011
Baker Beach,beach,Insert Name,37.791781,-122.485199
Golden Gate Park,park,The Funnest Park,37.769446,-122.486296
Mclaren Park,park,Park for Cool Dogs Only,37.719771,-122.419045
Alta Plaza Off Leash Dog Park,park,Park for Unleashed Doggies,37.791285,-122.438082
Corona Heights Park,park,Insert Name,37.765481,-122.43169
Dolores Park,park,Insert Name,37.75917,-122.426903
Glen Canyon Park,trail,Beautifulest Trail,37.749682,-122.444865
Leona Canyon Trail,trail,Most Exciting Trail for Dogs,37.786943,-122.151760
Barbary Coast Trail,trail,The Prettiest Trail of All,37.784590,-122.408615
Lands End Lookout,trail,Insert Name,37.785328,-122.507618
